dataset_id	first_author	year	paper_doi	n_participants	n_time_points	n_days	n_beeps_per_day	sampling_scheme	participants	topics	link_to_codebook	model_original	variables_original	include	lag_mode	notes	coding_done
43	Mostajabi	2024	https://doi.org/10.31219/osf.io/3szng	330	50	10	5	random momentary prompts and scheduled daily diary	college students	personality, affect, personality disorder, interpersonal	https://osf.io/dcfb5/files/agmcx	regression		unclear		predicted PA, NA, and characteristics of social interactions with personality states and traits. In the second reference (Vize et al.), they used mlSEM for lagged moderation and mediation analyse	yes
44	Mostajabi	2024	https://doi.org/10.31219/osf.io/3szng	396	42	7	6	unclear	college students	personality, affect, personality disorder, interpersonal	https://osf.io/dcfb5/files/agmcx	regression		unclear		predicted PA, NA, and characteristics of social interactions with personality states and traits. I could also check the previous publications that used this dataset in OSF to see if someone used dynamic modeling	yes
45	Kullar	2023	https://doi.org/10.1037/emo0001245	105	70	14	5	5x/day fixed 30-minute interval	participants with and without mood disorders	affect, affective chronometry, mood disorders, mind wandering	-	GIMME	happy, angry, enthusiastic, relaxed, sad, nervous, stressed, mind_wandering, emotion_chronometry	yes		they also used time of day within the model	yes
46	Ringwald	2024	https://doi.org/10.31234/osf.io/g7n4a_v3	526	145	15	event-contingent	event-contingent based on social interactions	adults (18-50)	empathy, affect, interpersonal, congruence, social perception	NA	multi-level response surface analysis		no			yes
49	Pronizius	2024	https://doi.org/10.1038/s41598-024-75261-z	803	35	7	5	4x semi-random, 1 prompt user-initiated before sleep	adults experiencing COVID lockdown	helping, mood, prosocial behavior, stress, COVID	https://osf.io/4tpvd	mixed effects		unclear		predicted helping or helping effort with lagged stress or mood valence	yes
50	Pronizius	2024	https://doi.org/10.1038/s41598-024-75261-z	303	35	7	5	4x semi-random, 1 prompt user-initiated before sleep	adults experiencing COVID lockdown	helping, mood, prosocial behavior, stress, COVID	https://osf.io/4tpvd	mixed effects		unclear		predicted helping or helping effort with lagged stress or mood valence	yes
51	Johannes	2021	https://doi.org/10.1080/15213269.2020.1768122	75	40	5	8	8x semi-random with at least 45 minutes between surveys	Dutch undergraduate students using social media	online vigilance, affect, wellbeing, smartphone, social interactions	https://osf.io/xf2pq/	mixed effects		unclear		predicted affective wellbeing from salience, behavioral reacibility and behavioral monitoring. Also had some interaction models in there	yes
52	Marian	2022	https://doi.org/10.1007/s10862-022-10014-8	140	63	21	3	4x/day 4 hour intervals based on individual wake-up time	undergraduate students	depression, anxiety, COVID	https://osf.io/r85q6	mlVAR	worry, difficulty_control_worry, restless, irritable, muscle_tension, anhedonia, depressed, appetite_change, worthlessness, psychomotor_change, fatiguability, difficulty_concentrating, suicidal_ideation	yes			yes
53	Stevens	2020	https://doi.org/10.1016/j.bodyim.2020.09.003	133	42	7	6	6x/day semi-random intervals with anchor times and 40 minute period around them	undergraduate students	body positivity, social media, affect, body satisfaction, fitspiration	NA	mixed effects		unclear		used exposure to certain content to predict body satisfaction, NA, PA	yes
54	Tammilehto	2022	https://doi.org/10.1080/02699931.2022.2081534	122	49	7	7	7x/day semi-random intervals, scheduled in blocks	undergraduate students	emotion regulation, attachment, neuroticism	https://osf.io/u59nd/files/	DSEM		unclear		they used different DSEM models, where multiple lagged predictors predicted either ER strategy or State attachment	yes
55	Wang	2024	https://doi.org/10.1111/famp.12995	78	147	21	7	6x/day EMA, 1x/day daily diary, morning survey at self-chosen time, other surveys randomly with certain interval, daily diary at 6:30pm	young adults (18-25)	family conflict, social interactions, affect, emotion, sadness	NA	mlVAR	sad, anxious, angry, family_conflict	yes			yes
56	Ryvkina	2023	https://doi.org/10.5334/jopd.83	327	84	14	6	6x/day at random times within the bounds of every participant's individually preferred time window, with at least 40 min. time lags between surveys	mostly college students	COVID, personality, emotions, affect, interaction, activities	https://osf.io/6kzx3/	mlSEM		unclear		analysis taken from second reference (Kroencke et al.). Used different, separate SEM-based regression models with one or few predictors - likely not relevant	yes
57	Ryvkina	2023	https://doi.org/10.5334/jopd.83	2272	84	14	6	6x/day at random times within the bounds of every participant's individually preferred time window, with at least 40 min. time lags between surveys	general population	COVID, personality, emotions, affect, interaction, activities	https://osf.io/6kzx3/	mlSEM		unclear		analysis taken from second reference (Kroencke et al.). Used different, separate SEM-based regression models with one or few predictors - likely not relevant	yes
58	Gainey	2023	https://doi.org/10.1177/21677026221147262	356	42	7	6	6x/day pseudo-random intervals with minimum interval between prompts	adults, oversampled for people in treatment or seeking treatment	awareness, mindfulness, emotion, cognitive fusion, well-being	https://osf.io/gct7x	DSEM		unclear		estimated many bivariate VAR models	yes
59	Blanke	2020	https://doi.org/10.1037/emo0000659	70	54	9	6	6x/day within self-selected 12hr timeframe	students	mindfulness, reflection, affect, well-being, emotion regulation	https://osf.io/v2am8	mixed effects		unclear		they predicted residualized change in affect with lagged affect, contemporaneous attention, acceptance, and two interaction effects	yes
60	Beck	2022	https://doi.org/10.1177/09567976221093307	199	109	43	4	4x/day every fixed schedule every for hours, starting time chosen by participants	students	personality, affect, situations, procrastination, loneliness	https://github.com/emoriebeck/behavior-prediction/tree/main/01-codebooks	machine learning		unclear		used different machine learning models to predict procrastination, loneliness, and studying from various features. Could estimate VAR, but only focus on these outcomes	yes
61	Merolla	2022	https://doi.org/10.1007/s10902-024-00710-5	120	60	10	6	6x/day random schedule	undergraduate students	responsiveness, social connection, hope, life satisfaction	NA	DSEM		modify		within-person, they use responsiveness and momentary connection in a VAR-like model, but they restrictred one cross-lagged effect to zero. Still, I think this counts as something like a VAR model	yes
62	Neubauer	2024	https://doi.org/10.1007/s11618-023-01182-8	321	84	14	6	6x/day semi-random schedule	undergraduate students	timescales, COVID, academic achievement, study demands	https://osf.io/csfwg	regression		no		they looked at some trends and overlap of different time scales	yes
63	van Woerkom	2022	https://doi.org/10.1007/s10902-022-00546-x	173	50	5	10	10x/day in 90-minute blocks with 30 to 150 minutes in between	Dutch working adults	happiness, well-being, affect, need for autonomy	NA	mlVAR	cheerful, satisfied, happy, insecure, anxious, down, tired, energetic, inspired, satisfied_self, goal_pursuit, feels_like_obligation, chose_doing, good_at_this, doubt	yes		they used random-intercept VAR models	yes
64	Wright	2017	https://doi.org/10.1037/abn0000286	245	344	21	event-contingent	event-contingent based on social interactions	outpatients screened for personality pathology and their romantic partners	affect, interpersonal disorders, personality pathology, emotions, social interactions	-	DSEM		unclear		they used a within-person-mediation model with perception, negative affect, and expressed behavior	yes
66	Hensel	2023	https://doi.org/10.1371/journal.pone.0292735	91	30	30	1	1x/day for a window of four hours	adults with spina bifida and current symptoms of incontinence	spina bifida, incontinence, affect, activities	https://osf.io/gefqx/files/	descriptives		no		they described feasibility, compliance, etc.	yes
70	van Halem	2020	https://doi.org/10.1002/per.2252	82	69	5	partially event-contingent	random triggers and triggers based on skin conductance	first-year psychology students in Tilburg	skin conductance, affect, arousal, situation	https://osf.io/v8sa7	mixed effects		unclear		they used different multilevel models, for example, predicting affect with self-reported arousal, positive energy, irritation, anxiety, and negative valence. Not lagged, but could still be included	yes
71	Scharbert	2023	https://doi.org/10.1038/s41467-024-44693-6	2855	140	28	5	5x/day with 4 randomly-timed surveys between 9am and 6pm and one daily evening survey after 7pm	adults	affect, well-being, Covid, prejudice	https://osf.io/nfkze	descriptives		no		mostly described the study and data quality	yes
72	Neubauer	2020	https://doi.org/10.1111/cdev.13515	562	21	21	1	1x/day at 7pm completed until 5am	adults living in a household with a schoolchild	COVID, schooling, adolescents, family	https://osf.io/tyc32	DSEM		modify		they used autonomy support (sum of parenting_child_decide and parenting_child_liked), need satisfaction, need frustration, child PA, and child NA in a VAR-like DSEM, while controlling for several covariates	
73	Sicorello	2024	https://doi.org/10.31234/osf.io/8mzvu	214	60	10	6	6x/day semi-randomized prompts within 30-minute intervals with 75 minutes between intervals and a 45-minute expiration time for each prompt	adults between 18-65	emotion regulation, stress, affect	https://github.com/MaurizioSicorello/SDERSvalid_Analysis/blob/main/data/SDERSvalid_Codebook.xlsx						
75	Ballou	2025	https://doi.org/10.31234/osf.io/nz96c_v1	1284	30	30	1	1x/day at 2 pm local time	18-40 year old people who play video games	videogames, gaming, well-being, mental health	https://github.com/digital-wellbeing/open-play/blob/main/codebook.xlsx						
